Node	 closeness centrality	 degree centrality	 betweenness centrality
WNP	0.30000050730519484	0.0025974025974025974	0.0
AMD	0.36056399000060974	0.04155844155844156	0.00031879981910473275
BLR	0.38114208372272895	0.09090909090909091	0.011014495699287807
BOM	0.4093823553844876	0.17272727272727273	0.04444860923621793
GOI	0.3352253595378868	0.023376623376623377	1.5127173910942102e-05
JAI	0.3289084791011986	0.02077922077922078	2.0309393318547272e-05
MAA	0.38419274572351114	0.08181818181818182	0.005635518929469621
PNQ	0.32040104242857687	0.02857142857142857	5.60243513278626e-05
BBI	0.30756960300412445	0.014285714285714285	3.835545307727295e-05
VTZ	0.3386249112439589	0.01948051948051948	8.083439191164034e-05
BDQ	0.30343788964887347	0.005194805194805195	0.0
COK	0.36243572378541705	0.04935064935064935	0.002773370123229086
GAU	0.3365474578007444	0.03116883116883117	0.001959930889787155
LKO	0.3353717461577724	0.023376623376623377	0.00033061116444834044
NAG	0.3172248239162737	0.01948051948051948	4.198002772392636e-05
TRV	0.35754250405088395	0.03636363636363636	3.3228835452607493e-05
CJB	0.348774431744459	0.01818181818181818	3.197336214803113e-05
IDR	0.30427943688640996	0.015584415584415584	3.884282167767214e-06
IXC	0.30355782557363586	0.007792207792207792	0.0
IXJ	0.30367785634689554	0.01038961038961039	1.657828443049918e-05
PAT	0.30720051948051946	0.011688311688311689	1.3548625204607311e-05
SXR	0.30391820288931487	0.015584415584415584	2.3333557765746504e-05
DIB	0.30367785634689554	0.00909090909090909	5.1026546619227376e-05
IMF	0.27947645513147695	0.012987012987012988	3.3776366676236638e-06
IXA	0.279273199527745	0.007792207792207792	0.0
IXB	0.3330447956206846	0.012987012987012988	7.848179817408558e-05
IXR	0.30355782557363586	0.00909090909090909	6.098851410985425e-06
RPR	0.30720051948051946	0.014285714285714285	1.2797089248480142e-05
VNS	0.30893053045104535	0.012987012987012988	0.001376430778612991
ETH	0.27477685105592087	0.007792207792207792	0.005177917011467076
SDV	0.21560957290884297	0.005194805194805195	0.0
TLV	0.37813948729753755	0.03116883116883117	0.008989266360317176
TBS	0.3362527577501308	0.024675324675324677	0.00432065956046953
KJA	0.37518382936067357	0.05844155844155844	0.008910822454066717
PYJ	0.2816286390543817	0.007792207792207792	0.0
AKY	0.2802924447814959	0.005194805194805195	0.0
SNW	0.2802924447814959	0.005194805194805195	0.0
HEH	0.280497187253944	0.00909090909090909	1.1258788892078878e-06
MDL	0.3387742826207758	0.02077922077922078	0.0016903497304469061
KAW	0.17981767705485807	0.0025974025974025974	0.0
MGZ	0.21924102161041928	0.005194805194805195	0.0025923361424011622
NYU	0.2802924447814959	0.006493506493506494	0.0
THL	0.28039477864231427	0.00909090909090909	0.0012970124803674868
TVY	0.28059967069831887	0.005194805194805195	0.005177917011467077
CJJ	0.3350791006550169	0.01038961038961039	2.1430218426120045e-06
CJU	0.3597195778460415	0.08571428571428572	0.01523718193327946
GMP	0.34362474214823213	0.033766233766233764	0.0031553413259990293
FUK	0.38342551108402334	0.08571428571428572	0.009150737168650197
HND	0.41898597856044667	0.16493506493506493	0.061759575157479464
KKJ	0.2952715489047669	0.0025974025974025974	0.0
ALA	0.40378617176724435	0.08311688311688312	0.02862949507410482
DYU	0.35654656392817957	0.045454545454545456	0.007019238273707169
FRU	0.348299908708072	0.03636363636363636	0.001833890172204996
IKA	0.40442406461363806	0.06623376623376623	0.005719939817543199
SGC	0.29146159343502803	0.023376623376623377	0.00019866200946098815
SHJ	0.36519319957265756	0.15584415584415584	0.01774465059393137
LBD	0.29595425768836175	0.02857142857142857	0.0007353777948279407
KRO	0.2777581550456777	0.0025974025974025974	0.0
MQF	0.2777581550456777	0.0025974025974025974	0.0
URJ	0.27816055729855077	0.007792207792207792	1.3237355469436859e-06
CNX	0.38133133004036684	0.06753246753246753	0.008703686124056463
BAV	0.35770903525910513	0.04415584415584416	7.076092761922872e-05
TCZ	0.3105545081687419	0.01038961038961039	0.0
DIG	0.328346002009961	0.012987012987012988	1.7288608756353497e-05
DLU	0.3110576341439039	0.01038961038961039	1.2544684611718256e-06
SYM	0.29883319015614734	0.0025974025974025974	0.0
YIC	0.34194180707983024	0.01038961038961039	0.0
SHA	0.37869886523732676	0.17402597402597403	0.006923869235651687
CGD	0.3481420211701264	0.02077922077922078	1.6731811270172778e-07
LYA	0.34798427671105514	0.023376623376623377	2.519407294865932e-06
HIA	0.35342903759838873	0.03116883116883117	4.555661353907725e-06
HSG	0.3258384805690703	0.006493506493506494	4.447062999911638e-06
IBR	0.31761840310227407	0.012987012987012988	3.313941093533603e-05
KHH	0.3867076025686298	0.09610389610389611	0.005116819334649209
ZYI	0.3539176491711054	0.033766233766233764	7.840705826333544e-07
TAK	0.33610560118218763	0.015584415584415584	1.1658844385394678e-05
AJL	0.279273199527745	0.007792207792207792	0.0
AUH	0.4383569056514262	0.13506493506493505	0.023406096315060153
ATQ	0.3113098089587753	0.012987012987012988	9.960108080698712e-05
CCJ	0.3387742826207758	0.04155844155844156	0.0011322598909944976
DMM	0.364672981339648	0.1012987012987013	0.004785449626649628
KWI	0.37721085397902687	0.0987012987012987	0.0049150187964137814
BAH	0.3737232597086612	0.08051948051948052	0.0031711864775149185
BHJ	0.29046947757235203	0.0025974025974025974	0.0
BHO	0.30355782557363586	0.006493506493506494	0.0
BHU	0.29046947757235203	0.0025974025974025974	0.0
IXE	0.3323242313722625	0.01818181818181818	1.5176591657415342e-06
CMB	0.41290392403295634	0.08311688311688312	0.013461481155875024
DIU	0.29057937900162645	0.0025974025974025974	0.0012970124803674868
IXU	0.30343788964887347	0.005194805194805195	0.0
JDH	0.30343788964887347	0.005194805194805195	0.0
RAJ	0.29046947757235203	0.0025974025974025974	0.0
